title,rating,body
Hang problems,3,  Something hang problems
Good phone,5,  Love it ❤
Nice but please give value for customers hopes on colors,4,  Ordered color is sea Green but received color is blue..  But it can be an affordable mobile for this price...  Nice one..
Worst,1,  Very bad buy..i m very upset withds mobile
AWESOME PRODUCT,5,  Thanks FOR Amazon & REDMI really amazed .If you are lacking for money you should buy this product.I recommend you
Nice,4,  No finger print  reader only face lock available... Other then  that everything is good.
No headphone inside box,1,  Phone seems nyc but there is no headphones iside the box product have lover ram with leads to hanging of phone all the time
Good,4,  Good
Good deal,5,  Value for money..Best smartphone in ₹6799..MAKE IN INDIA🇮🇳एक और कदम डिजीटल भारत की ओर...🇮🇳
Nice mobile for first time smart mobile user,5,  Very nice productProsGood battery backupGood displayConsAverage cameraAverage sound
Nice,5,  Nice mobile
Done,5,  Ok
Best phone in this amount,5,  Compare to other phone this phone is best in this amount
Any way to change this phone?,1,"  Taking 5 hours to get full charge, volume is very low,  can't return stuck...... No response from customer service...."
Thank you.,5,  Best mobile phone.
Redmi 9a,3,  Briteness very low
Delivery,5,  I love thiss product. Especially amazon great delivery and i love amazon for shopping. Thanks amazon to come in our life.
Good phone,5,  Good phone In this price range.
Amazing budget phone,4,  I bought a 2Gb/32Gb variant. For the price its an amazing phone. One star minus for the camera.
Reset my phone,3,  Reset my phone
processor Speed,2,  bad experience with the phonethe processor so slowphotos taken from camera is not so proper
Excellent mobile in this range,5,  Truly excellent product in this range...one should buy this for daily use except gaming
Good,5,  Like
Price wruth,5,  Good
Good phone at best price,2,  Good phone for decent price was a gift for Mom n she's really very happy
Nice ph.. I got the blue one n it's sexyyy,5,  Awesome ph
Very good,5,  Color as shown in the pictureCamera quality goodBattery excellentDisplay excellentOverall mobile is good
Awesome..,5,  I like this product redmi 9A fantastic phone..
Nice product,4,  Value of money
Want to replace the item.,2,"  Your browser does not support HTML5 video.


   Screen is getting blinked from left corner, which is a clear case of screen damage."
Nice budget phone,5,  Nice budget phone
Good,4,  Great value for money
Hanging,3,  As usual redmi mobile get hang and touch screen get stuck.
Cash back not received,4,  I like the phone. I use my Amazon pay icici credit card but i didn't get 5 % cash back
1,4,  Phone was problem with CameraAnd I got replace Mobile
Good product,4,  Good product
Value for money,5,  12 day's use reviewBattery backup- awesome battery 3 days normally usedCamera quality - price according best camera
Battery life os good,3,  Phone is good but not proper support miui 12 and camera quality is bad and battery life very good and phone is heavy weight and
Xxx,1,  Specified internal is 34gb but my purchased phone redmi 9a is 24gb please replace same mobile return with 34gb internal storage
Brilliant phone,4,  Good phone is this range . Go ahead if you are buying in this budget . Fingerprint scanner is good and battery life is awesome.
Awesome 💯,5,  Nice mobile in this price range...
Defect piece,1,  Voice recording sound is very low. I found this after return time over. So nothing to do defect piece
Nice display according to price,5,  Good display
Great quality,5,  Low budget me best phone
Best in low rate,5,  Nice product in low cost
Waste of money,1,  Cheapest phone of India .I request you please don't buy it. Quality of phone is totally different from shown.
Don't recommend,1,  Don't buyHeating issueCamera too poorBattery drainSlow charge
Super,5,  Super
Super,5,  Super
Gud Mobile at reasonable rate,3,  nice mobile with handy features.... gud for first time smartphone users like our parents....best part is dual volte
Very good,5,  Product is good at this price.U cant expect more in this price.
I don't like  camera flash timing not match whith photo soot,1,  Camera flash problem1st camera photo click and after flashing activeI m replace mobailBut this same problem.
Except sound everything is ok,3,  Sound quality is poor
Best mobile,5,  Best mobile phone under 8000
Display blur issue,1,  Bed mobile and bed sarvice new mobile inside Display blur issue is companies issue but not exchange but return mobile
Best phone under 7500,5,  It is a very good phone for the price.And I purchased it using amazon pay later EMI and I loved the experience.
NOT WORTH BUYING,1,  Phone is automatically getting switched off .. visited MI service as well still the issue not solved
Redmi 9A,4,  Excellent very good phone for normal users camera quality is good battery it will last for 24 hours.
Camera and battery backup,4,  Really amazing for this price range ..NYC display ...touch is really fantastic.....camera quality is also good
"According to the price, this product is right",5,"  It lacks features, the rest is right according to a user"
"Loved this, everything is working fine",5,"  Loved this, everything is working fine"
Good,5,  Nice product battery quality is best but too much tym taken in charging
Best price,4,  Best quality phone🤑🤑🎊🎊🎊👌🏻👌🏻
Good,5,  Good
Bad,1,  Badd
Nice,4,  Like
Good mobile for normal usage,3,  Good
Amazin product must buy,5,  This product is amazing battery life is amazing and camera is goodIt is an idle phone in low budgetYou can buy it
Pretty much good....but no fingerprint,4,  Pretty much worth of the price..... Good one....delivery takes a lot of time....otherwise its ok...if possible make it up....
"Worth of money, AMAZON online shopping, super good price",4,"  Low budget wise mobile best price, good Amazon"
Redmi 9A Mobile Phone,5,  Excellent Video Qualities and overall performance
BEST PHONE UNDER MY BUDGET,5,  Best phone under this rate ... according to rate they provide good processor ( 2.00ghz ) with excellent battery life
The phone stopped working after 1 month.,2,  Nothing matters phone is dead now
Ok for home users,4,  Mobile phone is good but display size is big but not HD quality but value of money is worth
Awesome,5,  I bought this mbl to my mother. The product is really awesome for simple use at this price.
Great Work,5,  This Product Very Sequel And Right Times Delevery Agent Thanks For Amozon India Pvt Limited
Wow . .just bigger and beautiful...,4,  Very good phone in this rate ....bigger screen ..beautiful ..but processor is little slow ..best in this rate
Software curropted,3,  Software of phone currupted within 2 months of purchase
Good value for money,5,  The product is good overall and a good value for money.
Good buy,5,  Value for money.good to buy
Worst mobile ever found...don't buy it...waste of money,1,"  Your browser does not support HTML5 video.


   Mobile is getting restarted automatically on it's own. Unable to operate. Return date validity over."
So Nice Product in Less Money,5,"  Very Nice mobile in 7500 rupeesBattery Backup is good ,Camera quality is good"
Value for money,4,  Nice product
"Looks good, handy, no back cover included with the pack",4,  Personal useCamara must improve
Good,4,  Superb quality 👍 phone 📱but portrait camera  shots are not goodAlso must smartphone superb 👌
Redmi mobile is India no 1 brand....,4,"  Your browser does not support HTML5 video.


   No fingers print only face lock and patterns, Battery life is very good,and camera normal"
Nice phone,5,  Amazing battery backup
Lag sometimes,1,  Nice phone but we cannot compare this phone with redmi note 9 bcaz redmi note 9 pro is very nice in comparison of this phone
It is a good product for everyday usage,5,  Even though micromax provided better specs 1 year ago but this phone has got somewhat better camera quality and brand value.
A very good affordable and stylish phone!,5,  The phone has all the required specifications according to the price. The battery life is amazing and it's very easy to use.
Not good. Need replacement.,1,"  Need replacement.Phone is hanging on small use,Touch is also not working properly. Unable to use this now. What to do?"
Nice phone,5,  this phone is amazing in this price
Battery not impressive,3,  Battery drains faster even when data is off and recent apps cleared.
Good for normal user.,4,  This mobile is Good for normal user only. Only calling and whatsapp.
This is a great product.,5,"  I am very happy that I chose this product. I have no regrets about it.  But sometimes the call is not visible when it comes,"
Nice Product in Budget Phone,5,"  Mobile is Really good like and Stylist body and Price is very competitive range, Recommend for Low budget smart phone"
Made in China without bill invoice,1,  It's made in chaina and i didn't get bill along this.its come without case too.Cheap camera quality
Fine..,5,  Fine..
Better,5,  Better
Ok,4,  But ok
price very high dont buy this product,1,  price very highdont buy this product
Fantastic product,5,  Fantastic product
Happy with the purchase..,3,  Phone is average  for the price  what you pay.. Its kind  of good quality..  I am satisfied with the product performance.
Everything is great as per the description & Working Perfect,5,  Everything is great as per the description & Working Perfectly.Thank you for your service.
Best And Recommended For Entry Level Users.,4,"  Nice Design, Average Performance for Entry Users.Overall Experience is good."
Good one! New product with a new experience.,4,  I liked the working system. A good product. Unlocks face in seconds and has good capacity of battery and storage. Liked it!
Their was no phone cover and tempered glass with the package.,3,  Phone is good but the brightness of the phone is little low and their was no phone cover and tempered glass with the phone.
It have hanging problem,1,  This is worst mobile I have ever received..I buy this mobile 9 day ago..and since that  I have hanging pblm in this mobile.
Looks extremely bad,1,"  Looks really bad,Micromax N1 is much better with all features"
Good product,5,  Go for it....at this price range
BAD PROCESSOR,2,  The processor of this redmi phohne  is very badSo i sugest u to not buy this phoneand take much expensive phone
overall Great,5,"  Camera quality good,fingerprint good,battery life good no doubt go for it."
Good,4,  Good
Good,5,  Super
Touch not working,1,  Touch not working after 4 months of usage
Just a Big NO!,1,  Not worth it
Delivery of Amazon as good as I used earlier,4,  Good product in the range
Nice phone,4,  Super phone. Good quality
घटिया मोबाइल,1,  साथ में ओटीजी केबल और ईयरफोन तो भेजा ही नहीं। फिंगरप्रिंट सेंसर भी नहीं है इसमें।
Good job keep work,5,  Awssom 🙏🙏👍
Very very bad,2,  Very bad
Defective - hanging,1,"  Mobile hanging problem occurred after 2-3 days, its very dangerous.No any load, any data storage how is it possible."
"Low sound,camera clarity low",1,"  Waste phone,low speaker sounds,camera clarity too bad,better to avoid this phone.I am wasted my money for this dabba phone"
Awesome👏,5,  Product is very good.... Value for money... Amazon delivery man good.... Fastest delivery.....Thank you Amazon
Budget phone,4,  So much under 19k really worth it
Superb Smartphone,4,  Good budget friendly
Review after 2 months: Unresponsive UI.,1,  Really bad response and lagging UI.Experience is really bad.
"Good but , it is printed made in china on back pannel",5,"  Super but , made in china is printed on backside the mobile"
Getting heated fast,4,"  Really good performance.and very fast.But it's getting hot very fastCamera is not bad, its an average"
Good product in low price,5,  This phone is very good and usefulThis is my 2 days reviewGood and very useful
Good,5,  Good
Best,5,  Best
Great,5,  Good
Good,4,  Good
Value for money,4,  Good
Good Product,3,"  Good Product, still its a week bought it"
Wow,5,  Nice
Best phone,5,  Best phone at an amazing price.Fingerprint sensor is really working very well.Good battery life.
Genuine product,5,  Good productAffordable rangeBig screenSound quality is not bad
Overall good,4,  Under 6500 its a good phone and the battery life is soo good. I think camera has only not that much good
heating problem,4,  good  product but too much  heating at  the time while on  charging {cons}value of  money  _{pros}
Value for money,4,"  Nice we can use it for a year and change, cheap in cost and value for money nice battery backup for 1day"
Battery backup Very poor and Amazon Very bad App,1,  Battery backup Very poor as will item are missing whenever packet or box is okBut my phone not replesment in Amazon
Dispaly and Processor,2,"  The display light is not powerful, dull like another mobile.Processor is manageable for daily use but not powerful."
Must buy good quality,5,  Overall everything was perfect
Very nice service,5,  Very nice equality and faster delivery by saller thank you Amazon
Bad quality,1,  Very poor quality.  Display hangs for seconds
Super mobile,4,  This is good mobile. Really super mobile. Value for money. Powerful battery. Large skin
Amazing,5,  The product is amazing and the delivery was before the esitimated date. Happy with the product.
Just want this back cover and screen guard,5,  Good phone
.,5,  Very Nice.
Budget phone,3,  Good product but need to improve quality on camera.Overall good product with this is Price.
Hate thia phone.,2,  Fingerprint cencor is not too smooth and battery drainage is too quick camera quality is also nlt good.
Overall Quality of the product,5,  Standard camera quality
Down fingarprint,1,  Fingerprint sensor left side and sentar ricent fingarprint one fingarprint right sideonlee back fingerprint sencar
Satisfied with the product,4,"  The product is worth the price, eventhough the camera doesnot seem to be so good.Still for this price it is worth."
Replacement of redmi 9A,3,"  Just 15 days have been passed and it's charging point has been useless,, it's not working.  Kindly Change my phone asap."
finger print sensor,3,"  the fingerprint sensor is not available, and Whenever we keep it for charging there isn't available any indicator light,"
Change U r policy,1,  My Mob. Is too much Hanging Problem..& i m Also unable to return this product...I m unhappy too this Amazon policy...
good one,3,  overall good mobile at this price
Good,4,  Good.. Worth money
Not good!,2,"  The new phone keeps on hanging, even just been 10 days of purchase but still..& they have got no return option!"
Mi a9,5,  A awesome mobile mi latest best pieces
Good product,5,  Good mobile phone.... Overall nice features at this price
Handset hanging always,1,  Not good
Camera and battery,3,"  Camera and battery quality is poor and when I play pubg it's lots of hanging, brightness also low."
Nice product this seller I am so happy,5,  This product Best Quality and best Mobiles phone  and time to time Delvar  this seller
Super,5,  Selphi camara qwaliti less but super mobile super speed betri beckup goodThanks flipcart
Not Bad,4,  Overall good. Made in india. Good battery. Bad camera. Average speed. Best in this Price range
Not working from 8th day,1,  Very bad products. It's not working. Always showing mi logo on it. Not able to Operate
Need in better price...,5,  Better price with average features & there is no finger print sensor in this mobile...
Value of the money,4,  Better overallBut phone is running slowFor Noah users I suggest this phone
Improve camers quality,1,  Camera quality not bud
Best Smartphone,5,  Best Smartphone at this price
Satisfied,3,  Satisfied
"Battery life, easy to use, overall good.",5,  Good buy.
Batterybackup is big with 5000mah,5,  Great mobile in this price ...camera qualoty is good nd batterybackup is awesome...Tnq for the safest delivery...
Battry problem,1,  Dear sirI have parched a mobile  redmi 9A and through amazon but batteries  is not working properly what can I do
Thank you,5,"  every thing is all okay & good delivery too, it was my great pleasurer shopping, good delivery toothank you a lot"
Excellent,5,"  Very nice phone, really love Amazon for fast delivery and superb phone"
good,5,  my Dad buy this ...1month ago ...he is happy with it..camera quality nice..good one at this price...must buy..
Superb,5,  Rs.6499 bohut acha phone hai redmi ka phone acha hota hai thank amazon
Good product..,5,  Big display at this price but single camera. Good phone at this price.
Real value for money,5,  Best quality at this price range
Average,3,  Ear piece sound is Terrible.
Phone color not as it looks in image..,3,  Phone color is not as looks in image.. looks not so good
I have a problem in this product,2,"  Can we return or replace this product? Because this product has autorestart problem, useless."
Poor Camera quality,3,"  We have to compromise camera quality, it is blur,I never suggest this mobile to anyone."
Software problem getting reboot,1,  Not working. Getting reboot by itself. Nd worest product.
Go for it,5,  Very good and user friendly... Value of money....
Good Purchase!,5,"  Bought this phone to gift my mother. She liked it, esp. it's easy to handle and the camera. thank you for the service."
Quality product,4,  Good product in good price
Amazing Product For Normal Usage ❤️❤️,5,  Excellent BatteryExcellent FeaturesExcellent QualityAnd Mainly Excellent Performance ❤️❤️
Nice phone,5,  Good economical phone
Value for money,4,"  Best part about this phone is decent battery life in low budget.Good camera,light weight and stylish,fast charge"
Good,5,  Good
Good,5,  Good
Best price,5,  Nice
Charging backup are so good and good product,4,  Item are so good price is good product are very very good minor hanging problem but it's okkk to price rating
Good Product,5,  Good mobile phone
Redmi 9a,1,  Product is very low quality. Mobile phone is very slow.
Worst experience,1,  Dont buy. I ordered it twice but same problm I faced related to mic issue in both new phone.
Good performance,5,  Good productWonderful lookLong Lasting batteryGood performanceGood processor
Fantastic,4,  Nyc mobile in this range ...coz its most buying phones in india ..i trust mi ..nd in this price this phone is amazing
Hangs a lottttt,1,"  Can't reven run simple apps like whatsapp , Facebook. Hangs a lot .don't buy"
Great mobile,5,  Good as a everyday mobile
battery backup good...,4,  excellent product at this rate
Best phone with price range.,5,"  Super performance. No doubt, go for it without hesitation.Everything is perfect. Superb quality phone."
Veryyyyyy hapyyy,4,  Very very very happy with phone its amazing very satisfied all should buy this its very satisfying loving it
Bad,2,  Bad
Best price,5,  Best price to best phone
Nice product...,5,  Very nice product...
Best,5,  Value for money
Good mobile at the best Price,5,  Best at this Price
Low budget smartphone. Must try.,4,  Speaker Sound is too low.Camera quality is fair at this price.
Excelent at this range,4,  Redmi has got very good response for its excellent range of Mobiles.
Appears Returned Item. Touch Screen is hard and search time is more.,2,"  It is not able to update system and security patch,"
Waste of money,1,  It does not have fingerprint reader the phone hangs very often I will not recommend you to buy  it's awaste of money
Very worst phone ever....guys please don't buy this phone....totaly waste of money,1,  Camera quality is very poor..... Display quality also very worst....I m not  satisfied ....totaly waste of money....
Value for money,4,  Good product but not up to the mark
Anil,5,  Best value for money 🤑🤑🤑🤑🤑
Nice,5,  I love this phone and use very simple I like it
Good,5,  Best for this price range
Good,5,  Best
Chinese company,5,  👍🎉🔫
Amazon service is very good,5,  This is very good product I like this
.,5,  Very Nice.
Mi,5,  Gud mobile
Very good,4,  Good one
Don't buy it,1,  Don't buy in this phone 📱 after 10 days the mobile display is showing a dark bule line in the center of the display......
Very Very Slow,1,  Very Very Slow even though we're using very less.All YouTube & Google reviews are useful in our case.
Looking attractive,5,  Good fantastic
Nice,5,  Good very good
Ok for the price range,3,  Ok for the price range.Camera quality worst.Slow phone.
It’s ok ok,3,  Good as per price range .. only for normal use .. slight slow and hang while using
Minimum budget quality product,5,  Redmi 9a is a good mobile for minimum budget. Battery life is really good 5000mah.
"Just ok, expected a bit more",3,  Screen is bit too large no quick charger
Very bad product don't buy,1,  Very bad experienceBad phone
hang,1,  phone have hang roblem n voive problem also... sometimes screen goes black
worth buy at this price.............,4,  overall good product at this price............
Redmi 9A,5,  Good phone for budget range
Gud mobile,5,  Overall gud mobile n budget friendly
I'm happy,5,  I'm happy
Very good,5,  Very good
Phone is good for this price,5,  In Reasonable price phn is awsome.. Battery life os good and camera quality is ok back camera is very nice
Look for other alternatives.,1,  Battery backup not expected. Disappointed with this for the given price range.
Good,4,  Good condition
Nice products 👍,5,  Nice products
Nice Mobile in low budget,4,  Product recommended with very low budget.. Over all nice product..
In this phone nothing was good to describe.,1,  Very bad on this amount don't purchase otherwise you also think what I think now👎👎👎👎👎👎👎👎👎👎👎👎
Poor performance,1,  It hang so much. very very poor quality camera. I would never suggest anyone buying this.
Nice phone value for money,5,  Best budget phone
Good budget phone with 2gb RAM..,4,  Really worth phone..
Review,1,  With 4-month my mobile processing very slop and show many time auto off and heated.Speaker not working
Ghost touching during incoming calls,1,  Very bad experience........ random ghost touch during incoming call from day2....and Amazon have not responded yet
Simple phone,2,  Phone is suitable for simple usage. Youngesters never will be satisfied with this product. Its hangs continuously.
May Be good in this price,4,  Good phone in this rate..Finger sensor could be the additional benefit in this price.
Worst model in my life don't go,1,"  Very worst phone in mi series don't go for it , it will always struck for general purpose as well"
low cost,3,  in this cost its nice deal grab it fast
"Superb, cheap and best",5,"  Satisfied with the product, same as expected.battery is very good but, very low cam quality."
Worth buying,5,  Worth product in this budget
Super,5,  Redmi. The world brand
Mobile Handset,5,  Good
Battery,5,  Very good phone for elderly people in family big screen big icon and fonts my mom use it and she loved it
Average mobile,3,"  Good mobile, large display, but camera quality not good .When you are camera lovers don't go for it"
Hang up,1,"  I want to change this phone , it’s not working properly , hang several times , pls solve my problem ....."
Nice 😊,4,  Nice phone within budget
Nice phone,4,  Phone is good as per price.
Very nice 👍👍👍👍,5,  Good product
Good,3,  Good product
Good phone in affordable prices.,5,  In this range it is a good phone for a normal user.
Very poor,3,  The products did not have fast charger only 10 watts . The camera is poor . Its screen is good. Face unlock is ok
Waste to buy,2,"  camera quality is too poor, even in good light picture is blurr.Hitting issueBattery is also not good"
We are facing with Mobile is getting switched off. Any one can help on the same,1,"  We are facing problem with Mobile is getting switched off, so can any share the contact details of service centre"
Pathetic,1,"  The worst product I got, no replacement is there till the date, I wasted my money customer service is so pathetic"
Perfect for a normal users,5,  Fingerprint reader is very good.Battery life is very good.Camera quality is average.
Phone is dead,1,  My phone is completely dead after 15 days..Amazon and redmi has cheated on us.. it's devastating
Great service by Amazon,5,  great
Good,5,  Good
Return policy not available,1,  Product is good in this price
Best in the low range segment,5,  Good product for this price range.Works flawlessly.
Above expectation!,4,  Good phone for price.Decent functions.
Good,4,"  Good. but , in this mobile box only have charger and guide book.in this box didn't have the back cover and Tember glass"
Good,5,  Good pharchase to you
Paaisa wasool!!,5,"  After 15-20 days of using, all perfect.Bought for grandpa, he is happy now!!Thank you Amazon"
dont bye it,1,  not a good phone
Not good,1,  Ui is very laggy
5 Stars,5,  5 Stars
Not bad,3,  Not bad
Best phone under 10000,5,  I liked its UI version and new added features. Camera is good. Excellent battery backup. I liked its VoWiFi feature....
Best mobile price for students online classes,5,  Nice phone to use. Best model to buy for students online classes
An average phone,3,"  Build quality of phone is not good,and functioning is not smooth"
Average,3,  Software problems issues after some days and switch off the phone automatically
FULLFILL YOUR DESIRE ACCORDING TO THE MONEY IT HAVE..,5,  Performance is very good according to the money.Good mobile in this range
Extraordinary value for money,4,  I have really enjoying with this productRedmi miui 12 is just awsome sound charity and picture camera Just
Not bad,3,  Everage in cheap budget planing.
Cheap and best phone in this price..,5,  Camera quality is good but not as expected..Battery life is sufficient according to use..
Budget ok,5,  Nice mediumlow
Service is very slow,5,  This product is good and battery is best and camera clarity is not good
Good Product,3,  The product should have at least 3gb ram at this particular price point
Good budgeted product,4,  Good product in budget quality is also good
happy with the Redmi 9A,4,  Overall look and comfort to use is good....
Not upto the mark,1,  Within first few days internet is working fine in phone but after few days it has become immensely slow
Value for money,5,  Value for money
Good looking for this product,5,  Amazing product
China product,1,  That's chaina product
redimi always superb,5,  superb
Good,4,  Nice👍
Camera quality is bad 👎,5,  Super phone but camera quality is bad
good looking phone,4,  Good mobile in 7.5 k.Camera Quality slight disappointing. Overall it is budget mobile.
Good phone,4,"  Best phone at this range, nice ram management, good battery. No fingerprint and type c"
Battery life is the best,5,  The best smartphone in this range. Must buy this. If you searching a affordable phone.
Redmi 9A,5,  Good mobile low cost bugnet not fast but use good
Sleek Design and Premium Look with a massive drop display,4,  It is a budget smartphone for your parents or Grandparents with all basic requirements with updated technology.
Items are missing in the box,4,  Back Cover is missing in the box
Fake service......angry  🤬 😡,1,  Fake service from Amazon......I buy 3 pc but I received only two pc...Plz don't buy..........
Nice phone,5,  In this price this phone is ok
Over all if you are investing 7500 then please add 2000-2500  to your budget n buy a better one.,3,  Battery life is not so good.Processing is not commendable.Got damaged just after one slip.
Thank you for Amazon's,5,"  All money is Basul phone, in this range, you cannot get a better phone than this, everything is great,"
fair,4,  Happy to receive this from Amazon.  but there is no manual attached in the box as mentioned. very Said
Some what good phone but camera is not good that's what,4,  Looks good best prize but camera is not so good  battery 🔋life good I am happy to to buy this product
Not bad,4,  For a person looking out for a phone with an average price rate this one may be an option to consider.
Good,3,  Nice phone but hanging problem some time .
Value for money...,5,  Nice Economic phone
Nice products,5,  Value of money
Good,5,  Custmer so happy thankyou for amezon good quality nice product
Good,4,"  I got this for 4,700 by exchanging my old phone..Its good one."
Why not seeing YouTube.,1,  Dislike because YouTube not working from 23.11.2020.I have wifi also 4G net yet I am not seeing YouTube.
"Vale for Money. ""Good Budgeted Phone.""",5,  Phone is Good as per Price.Battery life is Excellent.Camera is also fine.Not waste of Money.
worth to buy,4,  pros: battery backup is very good and design is up to expectationcons: camera quality should be improved
Good specially battery life,3,  My issue invoice download throgh Amazon app but no IMEI NO. on invoice and neither receipt invoice with iitem.
Its a budget mobile,3,  Contact name's are not display while ringing and shows after attempt the calls otherwise nice mobile in budget
Best mobile at best price,4,  Amazing phone with best price
money worth product,5,  its worth than what I paid :)
Bad one,1,  Not good for the price hangs alot and too slow better option available in market at this price point!
Best mobile in low price,5,  Nice mobile
Very smooth,5,  Very nice 👌 phone
Redmi,5,  Good in low budget
Budget phone,3,  Budget. Phone
Nice,5,  Good
Good,5,  Good
Good,4,  Good
Worth for the price,4,  Good phone and price. performance very good.  so happy
Good,4,  Phone is good according to price and features but I got a bug in call waiting setting.
Phone performance is very bad.,1,"  Worst phone, I have just bought 20 days ago and the phone is just switching off by default. Worst experience."
Worth the money,4,"  I bought it for my mother, and I am satisfied with the product. Only back camera quality is not satisfactory."
Good,3,  Canara quality is not good and bettry life it's ok and all features are fine
Excellent product,4,"  Good product. Value for money under 7.5k. But some additional features are not available like one handed mode, multi windows"
awesome,5,"  It storage , structure etc I like.value of money also good. Nice product."
Good,4,  Gifted this to my mom..she love it
Highly recommended,5,  Very nice for your old parents
Internet connectivity very good,5,  Battery back up very good and also it’s too slem. Valuable for money
Nice Phone,5,  Not much suitable for youngsters but gifting this phone to mom/dad with modern usage is just awesum.
Many problem faces like phone working very slow and many time display off automatically,2,  Phone is working very slow
Not suggesting,1,  Battery backup not upto Mark
Average at this rate not good,3,"  Nice but,camera is not good,you can buy another another mobile at this price"
Battery backup,3,"  Battery backup is very poor, and also while playing pubg its lots of hang, and average camera"
Worst mobile,1,"  Your browser does not support HTML5 video.


   Worst phone. Something happening without touch phone. Check video."
Redmi 9a,4,  Nice product
Good product,4,  Best quality
Okay,3,  Okay product
Jitu Talukdar,5,  Good quality
Good,5,  Good product value for money 👍👍✌️
😘,4,  I m happy thnku Amazon
Its amazing 😌,5,  Thank you so much for this amazing mobile its camera 📷 quality is amazing.I likes most the big screen
Very good product,5,"  Very very nice product,, for low cost ,low budget,super phone...... battery super,camera ok, graphics super."
Best Budget Smartphone.,4,  Xiaomi Redmi 9A is best budget smartphone having good battery backup and Amazon is best site to purchase it.
Nice,4,  Wonderful delivery by Amazon within 12 hrs.Nice look product. Value for money
Awesome mobile in this price🤗🥰,5,  Battery life and camera quality is in expected level🥰🤗 I grab this in great Indian festival sale🤩♥️
Best smartphone for price range,5,  It's doesn't support finger sensor. Battery life very good .
Worst mobile,1,  Bluetooth has a lot of problemsHave calling problemWorst mobile
Sound quality issue,3,  Sound quality is very low . Requested Amazon to return but no response yet.
Excellent,5,  Superb product.really this is value for money.
Best phone in 7000,4,  Good budget phone
Not bad for low budget,3,  Sound quality very poor....
Good under 7000 rs,2,  good but camera worst poor i buy 6 phone money loss
Good one,4,  It is a good phone in this price range.
Exlent mobile,5,  Nice mobile
Super mobile,5,  Nice mobile
Good at this price range,4,  the price is acceptable for its specifications and will write whole review after using it for at least 10 days....
Ok,4,  Ok
Ram and battery mah and proccesser,5,  Nice camera ram and batteryNice product dont waste money by this phone all members thanks from amazon
Refmi 9a,5,  I am impressd with this phone amazon gave a great price please buy the phon in this phone pubg works smooth
Good,5,"  Your browser does not support HTML5 video.


   Amazing"
Good deal,3,  Dont expect good performance unlike flagship phones.
Good value for money,5,  Worth every penny
Good phone in this price range,5,  No fingerprint reader
This phone be interested,5,  Redmi 9A is very good
Very nice,5,  I got 5848 thanks amazon battery and display good cam not bad overall good
Superb Redmi 9,4,  Redmi 9 A purches last 5 month. Nice product. bettery backup two days came
Valuable price,4,  This phone is good for this ratee
Budget Phone,4,"  It's budget phone, battery life is goodCamera quality is not clear in video calling."
Not Good,2,  network is not working properly.also internet is not running properly.network is not good under the roof.
Avarage,3,  Not goodFor normal people it goodFor all time users not good
old dummy mobile sold on new purchase,1,  Old mobile given on the new purchase.box was all good.Assembled set sold. gum visible.poor quality
Great Deal,5,  Everything is going right now. Nice camera under 7000 price. Product was superb and works smoothly
NA,4,  It is just an entry level phone.
good product,4,  good product at this price point
Very bad quality,2,  Camera not clear
Excellent,5,  Value for money
Good,4,  Till now no issues found. Hoping to move on with this for a short run.. Peace out✌️
Very nice and helpful Amazon,5,  Nice phone
Unexpected...Camera Quality is Bad,3,  Phone is Decent at this Price... But Camera Quality is Poor and Type C Or Power Charging is not Available.
Nice phone,4,  I brought this phone for my mother & she is very happy with it so I can say it's good phone in low budget.
Don’t buy this,1,  The product is really really slow. Please do not buy this and go for redmi 9 instead. Total waste of money
Speakers are not upto mark comparing other brands,4,"  Speakers are not upto the mark. Cannot hear video volumes, Phone call on speaker."
Value for money,5,  It has nice features
Uhgg,5,  Nice
Improve camera quality,4,"  Camera quality poor, no finger print, battery life is good"
Amazing phone. Satisfied.,5,  Very good phone in this price range. Good battery. Good speed. Ok camera.
Price is little high,3,  Oaky products not upto the mark little bit expensive overall good product
budget friendly,4,  Budget phone . For 6800 rs - massive 5000mah battery and 6.5 inch display
Value for money,5,  Budget king
Bakvass,1,"  Phone is hanging in just one week,now no return policy for 15 days , quality is very poor,don't buy , money lost"
Battery life too longer,5,  I like redmi phone
Taking long time to connect internate,1,  It's too buffering.not connecting to internate even I have full signals.indeedly this is a fraud.
Gareebo Ka mobile,2,  Its just a working mobile in which everything but nothing is good
Budget phone,5,  Nice one
Made on china product,4,  It's the thing which disappointed me about this smartphone.
Best fone in this range,5,  Best fone in this prise..
Good in this price,5,  Value for money
Duplicate product Received,1,  Duplicate product received
Good phone in this budget,4,  Ok to buy if gets good discount deals
Best,5,  Easy to useCamera quality is bestLooking goodLight weightBest for gaming#MI
Gg,2,  Camera is not so goodApps are nnot workingPerformance is not goodBad calling experience
Good mobile with low price range.,4,  Powerfull battery life.light weightedScreen brightness averaged. Overall good mobile in this price.
Nice,5,  Good perfomance.cool camera
Nice,5,  Very good
good mobile,4,  very nice
More powerful,5,  Much more
Nice phone but camera quality low,3,  Nice phon at this price.but camera could be better
Recommended,4,  This smartphone is decent for parents and childrens who just want to study or operate whatsapp
Not a professional mobile,3,  Quality is very law
Average,2,  Good but not better
Not So good,2,"  camera quality was not so good, power button is very hard"
good mobile,4,  I'm writing this review after two months of use .....it works well...good camera quality
